state,account_length,area_code,phone_number,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,international_plan,voice_mail_plan,outcome
?,119.0,?,?,22.0,?,?,29.26,223.6,?,19.01,?,94.0,6.75,?,?,3.75,1.0,?,1.0,1
?,61.0,?,1249.0,?,88.1,?,?,129.7,?,?,169.0,87.0,7.61,?,?,3.59,2.0,?,?,0
32.0,?,?,?,?,?,?,?,166.6,67.0,14.16,?,118.0,8.93,?,3.0,3.89,?,1.0,?,1
15.0,?,?,1763.0,30.0,?,117.0,31.45,?,?,21.21,157.8,103.0,?,?,?,?,?,?,1.0,0
49.0,?,415.0,?,0.0,185.1,91.0,31.47,227.3,115.0,19.32,198.5,79.0,?,12.7,?,3.43,2.0,?,?,0
43.0,150.0,510.0,2448.0,0.0,?,?,30.41,?,110.0,14.37,148.6,?,?,?,?,3.73,?,0.0,?,1
12.0,130.0,415.0,1787.0,0.0,?,119.0,25.57,?,?,19.59,186.3,76.0,?,?,?,3.32,1.0,0.0,0.0,0
?,?,?,2114.0,28.0,220.3,96.0,37.45,?,?,?,203.0,111.0,?,9.4,6.0,2.54,4.0,0.0,?,0
?,111.0,?,?,?,?,114.0,34.94,?,99.0,?,?,?,?,14.0,4.0,3.78,?,?,1.0,0
28.0,?,510.0,2210.0,?,169.4,127.0,28.8,157.2,?,13.36,?,103.0,?,?,?,?,1.0,?,?,0
?,53.0,?,1627.0,24.0,145.7,?,24.77,220.5,?,?,?,?,?,13.1,5.0,3.54,?,?,?,0
28.0,132.0,?,?,31.0,174.5,101.0,29.67,245.6,?,?,?,76.0,7.78,10.3,?,?,1.0,0.0,?,0
31.0,?,?,2146.0,0.0,?,?,25.5,218.5,?,18.57,212.4,89.0,?,9.8,1.0,2.65,3.0,0.0,0.0,0
33.0,?,415.0,?,?,?,?,?,106.1,80.0,9.02,?,90.0,?,?,6.0,?,0.0,?,?,0
28.0,?,?,?,?,163.2,?,?,?,?,?,?,90.0,?,?,10.0,1.67,1.0,0.0,?,0
?,?,?,2370.0,?,?,116.0,?,?,79.0,?,?,?,?,11.3,?,3.05,3.0,0.0,?,0
?,?,415.0,1855.0,0.0,?,91.0,?,92.0,?,?,?,?,10.12,13.6,17.0,?,?,0.0,?,0
29.0,115.0,415.0,382.0,0.0,?,?,?,?,?,?,?,102.0,6.91,12.7,?,3.43,?,1.0,0.0,0
26.0,100.0,415.0,3023.0,?,96.5,86.0,16.41,?,?,?,146.4,106.0,?,12.5,?,3.38,?,?,0.0,1
?,?,?,?,0.0,190.0,125.0,?,141.5,?,12.03,?,?,?,?,3.0,?,?,0.0,0.0,0
?,?,?,373.0,0.0,?,74.0,?,?,?,?,?,96.0,?,11.3,?,3.05,1.0,?,?,0
?,?,?,3335.0,?,?,?,?,313.4,95.0,26.64,215.7,?,?,?,?,2.84,1.0,1.0,0.0,0
34.0,?,?,?,29.0,?,?,40.72,?,?,?,167.8,?,7.55,9.9,?,?,?,?,1.0,0
?,?,415.0,?,?,250.9,?,42.65,171.4,100.0,14.57,148.6,85.0,6.69,?,6.0,?,?,0.0,0.0,0
5.0,?,415.0,?,?,153.5,?,?,?,108.0,?,244.7,110.0,11.01,?,3.0,2.86,?,0.0,?,0
45.0,50.0,415.0,2834.0,0.0,99.6,108.0,16.93,308.7,?,26.24,161.2,62.0,?,13.7,?,3.7,2.0,1.0,0.0,1
11.0,?,?,?,0.0,?,44.0,32.45,161.4,109.0,13.72,231.9,100.0,10.44,8.4,?,?,?,?,?,0
44.0,133.0,408.0,?,?,174.0,?,29.58,209.4,113.0,17.8,224.1,?,?,?,?,3.81,?,0.0,?,1
19.0,?,408.0,?,?,186.2,?,31.65,257.7,89.0,21.9,164.3,?,7.39,11.0,4.0,2.97,?,0.0,0.0,0
?,77.0,510.0,?,?,?,?,?,214.9,?,?,241.3,?,?,?,3.0,3.7,?,0.0,0.0,0
?,?,?,515.0,0.0,?,?,36.64,?,100.0,?,?,59.0,7.66,10.3,?,?,1.0,?,0.0,0
39.0,107.0,?,3031.0,?,60.0,102.0,?,102.2,?,8.69,?,?,11.78,?,3.0,?,?,?,1.0,0
45.0,94.0,?,2982.0,?,?,131.0,40.05,?,?,?,?,93.0,?,?,4.0,2.32,?,1.0,?,0
5.0,?,?,?,?,?,?,31.25,?,95.0,19.52,144.1,?,?,7.7,3.0,2.08,?,?,1.0,0
?,?,510.0,3822.0,?,211.3,100.0,35.92,?,?,19.41,217.1,?,9.77,?,5.0,1.7,?,?,?,0
44.0,?,?,3523.0,?,?,?,30.99,?,97.0,16.93,?,113.0,5.41,18.0,5.0,4.86,?,?,0.0,0
?,?,510.0,?,?,288.1,?,?,?,92.0,21.93,?,?,?,?,4.0,2.75,?,?,0.0,1
23.0,?,415.0,?,?,128.9,85.0,21.91,201.4,93.0,?,275.3,?,?,?,3.0,3.0,?,0.0,0.0,0
?,?,?,821.0,0.0,165.3,118.0,28.1,?,?,17.85,?,93.0,8.42,?,3.0,?,2.0,?,0.0,0
?,?,510.0,?,?,249.9,?,42.48,242.5,104.0,?,151.7,?,6.83,?,6.0,4.13,?,?,0.0,1
39.0,132.0,415.0,?,?,130.7,86.0,?,?,98.0,15.82,204.8,?,?,11.9,6.0,3.21,?,1.0,?,0
?,99.0,?,2728.0,?,142.3,89.0,?,204.5,?,?,?,114.0,?,?,?,?,?,0.0,0.0,0
